,Player,Pos,Age,Tm,G,GS,MP,PTS,TS%,FTM,FTA,FT%,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,OREB,OREB%,DREB,DREB%,TREB,TREB%,AST,AST%,STL,STL%,BLK,BLK%,TOV,TOV%,USG%,OFFWS,DEFWS,WS,WS/48,BPM,VORP,eFG%,PF
644,JaVale McGee\mcgeeja01,C,30,GSW,65,17,615,310,0.6409999999999999,38,52,0.731,136,219,0.621,0,6,0.0,136,213,0.638,59,11.5,110,18.7,169,15.4,33,8.0,21,1.6,57,7.3,27,10.0,19.2,1.7,1.1,2.7,0.212,2.6,0.7,0.621,91
645,Rodney McGruder\mcgruro01,SG,26,MIA,18,2,299,91,0.595,4,8,0.5,36,73,0.493,15,35,0.429,21,38,0.5529999999999999,11,4.1,21,7.9,32,6.0,17,8.4,8,1.3,3,0.9,4,5.0,12.1,0.5,0.3,0.8,0.125,-0.6,0.1,0.596,21
646,Trey McKinney-Jones\mckintr01,SG,27,IND,1,0,1,0,,0,0,,0,0,,0,0,,0,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,0.0,0.0,0.0,0.0,-0.001,-5.9,0.0,,0
647,Alfonzo McKinnie\mckinal01,SF,25,TOR,14,0,53,21,0.643,2,3,0.667,8,15,0.5329999999999999,3,9,0.33299999999999996,5,6,0.833,1,2.2,6,12.4,7,7.4,1,2.7,1,0.9,1,1.5,3,15.5,16.0,0.0,0.1,0.1,0.084,-3.1,0.0,0.633,8
648,Ben McLemore\mclembe01,SG,24,MEM,56,17,1091,422,0.526,53,64,0.828,157,373,0.42100000000000004,55,159,0.34600000000000003,102,214,0.47700000000000004,34,3.5,105,11.4,139,7.4,51,7.5,38,1.8,15,1.3,61,13.2,19.0,-0.2,0.7,0.5,0.023,-3.6,-0.4,0.495,139
649,Josh McRoberts\mcrobjo01,PF,30,DAL,2,0,6,0,0.0,0,0,,0,1,0.0,0,1,0.0,0,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7.6,0.0,0.0,0.0,-0.19,-12.2,0.0,0.0,2
650,Jodie Meeks\meeksjo01,SG,30,WAS,77,0,1119,487,0.5479999999999999,101,117,0.863,157,393,0.39899999999999997,72,210,0.34299999999999997,85,183,0.46399999999999997,15,1.5,111,11.2,126,6.4,70,9.1,29,1.3,4,0.3,37,7.7,19.0,1.3,0.8,2.0,0.087,-2.8,-0.2,0.491,55
651,Salah Mejri\mejrisa01,C,31,DAL,61,1,729,214,0.644,38,66,0.5760000000000001,88,137,0.642,0,3,0.0,88,134,0.657,85,12.5,161,25.4,246,18.7,35,7.2,22,1.5,67,8.2,39,19.0,12.8,1.3,1.3,2.7,0.175,3.1,0.9,0.642,121
652,Jordan Mickey\mickejo01,PF,23,MIA,23,3,284,93,0.515,13,19,0.684,39,82,0.47600000000000003,2,16,0.125,37,66,0.561,18,7.1,63,25.3,81,16.2,9,4.8,6,1.1,10,3.0,18,16.6,17.1,-0.1,0.4,0.3,0.054000000000000006,-5.1,-0.2,0.488,36
653,Khris Middleton\middlkh01,SF,26,MIL,82,82,2982,1652,0.5770000000000001,320,362,0.884,593,1272,0.466,146,407,0.359,447,865,0.517,45,1.8,384,15.0,429,8.4,328,17.7,119,2.0,21,0.6,191,11.8,24.6,4.6,2.3,6.9,0.111,0.4,1.8,0.524,270
654,C.J. Miles\milescj01,SF,30,TOR,70,3,1337,699,0.545,81,97,0.835,227,599,0.379,164,454,0.361,63,145,0.434,18,1.5,134,11.0,152,6.4,55,6.0,37,1.4,21,1.3,39,5.7,22.3,1.4,1.5,2.9,0.10300000000000001,-0.5,0.5,0.516,134
655,Darius Miller\milleda01,SF,27,NOP,82,3,1944,637,0.617,58,67,0.866,216,487,0.444,147,358,0.41100000000000003,69,129,0.535,18,1.0,146,7.9,164,4.6,111,7.5,28,0.7,17,0.7,58,10.1,12.8,2.1,0.9,3.0,0.075,-1.0,0.5,0.594,160
656,Malcolm Miller\millema01,SF,24,TOR,15,4,126,38,0.638,4,4,1.0,13,28,0.46399999999999997,8,21,0.381,5,7,0.7140000000000001,4,3.6,11,9.6,15,6.7,3,3.2,1,0.4,2,1.3,5,14.4,12.1,0.1,0.1,0.2,0.087,-2.0,0.0,0.607,10
657,Patty Mills\millspa02,PG,29,SAS,82,36,2107,819,0.5579999999999999,105,118,0.89,280,682,0.41100000000000003,154,414,0.37200000000000005,126,268,0.47,26,1.4,128,6.8,154,4.1,229,16.0,55,1.3,11,0.4,106,12.6,17.8,2.0,2.1,4.1,0.09300000000000001,-0.4,0.9,0.523,128
658,Paul Millsap\millspa01,PF,32,DEN,38,37,1143,555,0.5489999999999999,112,161,0.696,202,435,0.46399999999999997,39,113,0.345,163,322,0.506,65,6.4,180,17.6,245,12.1,105,13.6,39,1.7,44,3.2,73,12.6,22.0,1.4,1.1,2.5,0.106,0.7,0.8,0.509,99
659,Nikola Mirotic\mirotni01,PF,26,TOT,55,14,1494,859,0.5770000000000001,112,137,0.818,306,684,0.447,135,358,0.377,171,326,0.525,59,4.3,346,24.9,405,14.6,80,8.6,44,1.4,39,2.2,62,7.7,23.4,2.2,1.8,4.0,0.128,0.6,1.0,0.546,108
660,Nikola Mirotic\mirotni01,PF,26,TOT,55,3,1494,420,0.5770000000000001,65,79,0.823,143,302,0.474,69,161,0.429,74,141,0.525,18,4.3,141,24.9,159,14.6,39,8.6,15,1.4,13,2.2,31,7.7,23.4,2.2,1.8,4.0,0.128,0.6,1.0,0.588,45
661,Nikola Mirotic\mirotni01,PF,26,TOT,55,11,1494,439,0.5770000000000001,47,58,0.81,163,382,0.42700000000000005,66,197,0.335,97,185,0.524,41,4.3,205,24.9,246,14.6,41,8.6,29,1.4,26,2.2,31,7.7,23.4,2.2,1.8,4.0,0.128,0.6,1.0,0.513,63
662,Nikola Mirotic\mirotni01,PF,26,CHI,25,14,622,859,0.624,112,137,0.818,306,684,0.447,135,358,0.377,171,326,0.525,59,3.0,346,25.3,405,13.7,80,11.0,44,1.2,39,1.9,62,8.4,25.7,1.5,0.6,2.0,0.158,1.9,0.6,0.546,108
663,Nikola Mirotic\mirotni01,PF,26,CHI,25,3,622,420,0.624,65,79,0.823,143,302,0.474,69,161,0.429,74,141,0.525,18,3.0,141,25.3,159,13.7,39,11.0,15,1.2,13,1.9,31,8.4,25.7,1.5,0.6,2.0,0.158,1.9,0.6,0.588,45
664,Nikola Mirotic\mirotni01,PF,26,CHI,25,11,622,439,0.624,47,58,0.81,163,382,0.42700000000000005,66,197,0.335,97,185,0.524,41,3.0,205,25.3,246,13.7,41,11.0,29,1.2,26,1.9,31,8.4,25.7,1.5,0.6,2.0,0.158,1.9,0.6,0.513,63
665,Nikola Mirotic\mirotni01,PF,26,NOP,30,14,872,859,0.539,112,137,0.818,306,684,0.447,135,358,0.377,171,326,0.525,59,5.3,346,24.6,405,15.3,80,6.8,44,1.6,39,2.4,62,7.1,21.8,0.7,1.2,1.9,0.106,-0.2,0.4,0.546,108
666,Nikola Mirotic\mirotni01,PF,26,NOP,30,3,872,420,0.539,65,79,0.823,143,302,0.474,69,161,0.429,74,141,0.525,18,5.3,141,24.6,159,15.3,39,6.8,15,1.6,13,2.4,31,7.1,21.8,0.7,1.2,1.9,0.106,-0.2,0.4,0.588,45
